Name,Category,Brand,ImageURL,Code,Barcode
LA FINCA OREJITAS EN VINAGRE 12/15 OZ,Carnicería,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/211_3078,211,810118990632
LA FINCA PACAYA 12/ 16 OZ.,Conservas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/143_2323,143,851356007218
LA FINCA PACAYA 12/32 OZ,Conservas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/59_2300,59,851356007225
LA FINCA PAN HOJALDRA 10 UDS/14 OZ CJ 12,Galletas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/155_5384,155,810118992544
LA FINCA PANELA FRACCIONADA 12 CJ 32 OZ / 908 GRS,Dulces,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/125_6188,125,850026673852
LA FINCA PANELA MONEDA CJ 24 16OZ/ 454 GRS,Dulces,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/428_CTD6183.jpg,428,810118992797
LA FINCA PANELA PILONCILLO CJ 25 8 OZ/227 GRS,Dulces,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/342_6189.jpg,342,850026673845
LA FINCA PANELA REDONDA 24 CJ 16 OZ/454 GRS,Dulces,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/341_6187.jpg,341,850026673838
LA FINCA PATITAS EN VINAGRE 12/15 OZ,Carnicería,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/216_3082,216,810118990625
LA FINCA PIMIENTA Y COMINO 1 /8.1 OZ (230 GR JUMBO) CJ 12.,Condimentos,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/118_5516,118,810118990687
LA FINCA PIMIENTA Y COMINO MOLIDO 24/65GRS..,Condimentos,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/93_5368,93,810118990670
LA FINCA QUESO CINCHO 1/12OZ. CJ 16 (PESO),Lácteos,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/187_8202,187,810118990113
LA FINCA QUESO FRESCO 6/ 10 OZ. CJ12,Lácteos,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/188_8208,188,810118990465
LA FINCA QUESO PARA PUPUSAS 1/16 OZ CJ 12,Lácteos,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/185_8198,185,851356007980
LA FINCA RELAJO ENTERO 12/ 4 OZ CJ 4,Condimentos,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/81_5216,81,810118990984
LA FINCA ROSCA ROJA 5 UDS/7 OZ CJ 12,Galletas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/156_5387,156,810118992605
LA FINCA ROSQUETE 1/12 OZ. CJ 18 UNDS,Galletas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/95_5374,95,851356007041
LA FINCA ROSQUILLA MIXTA FAMILIAR 1/16 OZ. CJ 12 UNDS,Galletas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/96_5376,96,851356007027
LA FINCA SALSA AJO CON PEREJIL 12/ 330 ML,Condimentos,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/116_5514,116,810118990700
LA FINCA SALSA DE SOYA 12/340 ML,Condimentos,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/115_5512,115,810118990717
LA FINCA SALSA GUACAMOLE 12/ 17.6OZ.,Condimentos,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/61_2334,61,810118991615
LA FINCA SALSA INGLESA 12/340 ML (11.02 OZ),Condimentos,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/92_5364,92,810118990694
LA FINCA SALSA ROJA TAQUERA 12/ 17.6OZ.,Condimentos,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/62_2336,62,810118991608
LA FINCA SALV SEMITA DE ARROZ 1/10 OZ CJ 10,Galletas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/120_5532,120,851356007584
LA FINCA SEMILLA DE MORRO 12/ 8 OZ CJ 3,Harinas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/84_5227,84,810118990991
LA FINCA TAJADAS DE PLATANO DULCE 12/12.7OZ,Snacks y Botanas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/317_6216.jpg,317,810118993145
LA FINCA TAJADAS DE PLATANO SALADOS 12/12.7OZ,Snacks y Botanas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/318_6217.jpg,318,810118993138
LA FINCA TOSTACAS 1/12OZ. CJ 16 UNDS,Galletas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/97_5381,97,851356007188
LA FINCA TOSTADA HORNEADA CON AJONJOLI 12/8.84 OZ,Snacks y Botanas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/123_6121,123,851356007836
LA FINCA TOSTADA HORNEADA CON CHIA Y NOPAL DESHIDRATADO 12/8.84 OZ,Snacks y Botanas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/124_6122,124,851356007843
LA FINCA TOSTADA HORNEADA GUAJILLO 12/ 8.84 OZ.,Snacks y Botanas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/126_6231,126,810118990519
LA FINCA TOSTADA HORNEADA NATURAL 12/8.84OZ,Snacks y Botanas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/122_6120,122,851356007829
LA FINCATOSTADA HORNEADA DE MAIZ AZUL CON AMARANTO Y LINAZA 12/8.84OZ,Snacks y Botanas,La Finca,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/372_6123.jpg,372,851356007850
LAKY SOPA DE CAMARON 12/75 GRS,Condimentos,LAKY,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/254_5450,254,7404001800028
LAKY SOPA DE CAMARON PICANTE 12/ 75 GRS,Condimentos,LAKY,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/259_5456,259,7404001800622
LAKY SOPA DE JAIBA 12/75 GRS,Condimentos,LAKY,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/258_5455,258,7404001800387
LAKY SOPA DE MARISCOS 12/75 GRS.,Condimentos,LAKY,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/255_5451,255,7404001800370
